name,rrn,time,department,location,doctor
류열다,970405-1660660,2025-06-19 08:20,소화기내과,2층 A-4,윤교경 전문의
황용용,810206-2331088,2025-06-25 05:50,비뇨의학과,2층 C-4,강수한 전문의
이린제,720528-1034254,2025-06-12 05:10,치과,3층 C-4,임범린 전문의
강선범,680404-1474441,2025-06-16 16:10,비뇨의학과,4층 C-4,오영서 전문의
조혜호,940826-1269985,2025-06-26 20:00,피부과,4층 A-2,홍철한 전문의
안은철,710624-2828724,2025-06-20 07:30,피부과,3층 B-3,류린범 전문의
홍서미,600223-2194442,2025-06-22 10:30,소화기내과,4층 D-1,최주태 전문의
최석선,800628-2593251,2025-06-22 13:10,치과,4층 D-2,류경현 전문의
홍린찬,680214-1967979,2025-06-22 22:50,비뇨의학과,2층 A-1,강재민 전문의
황하은,600625-2990839,2025-06-22 21:30,가정의학과,4층 B-2,오은은 전문의
박제용,630709-2061911,2025-06-25 09:10,내과,4층 C-4,류태범 전문의
임승연,740418-2934197,2025-06-20 01:00,소아과,3층 A-1,강열교 전문의
황다서,650114-1012445,2025-06-22 13:00,소아과,3층 C-2,송민철 전문의
송예욱,780222-1689195,2025-06-14 04:20,치과,4층 A-3,한교교 전문의
장은우,840715-2998939,2025-06-24 19:10,비뇨의학과,2층 C-1,최찬서 전문의
윤예서,041014-2951909,2025-06-24 12:30,호흡기내과,3층 A-1,김교재 전문의
안찬주,710312-2888961,2025-06-23 10:10,내과,4층 D-3,최린영 전문의
윤은호,000329-2630532,2025-06-13 12:10,산부인과,4층 C-4,윤철제 전문의
신선우,751023-2737024,2025-06-18 17:30,산부인과,2층 C-1,홍철선 전문의
권선찬,610906-2670213,2025-06-15 20:00,가정의학과,4층 B-1,김수영 전문의
홍서혜,690705-2081738,2025-06-29 16:10,피부과,2층 C-3,조윤승 전문의
조철미,630204-2779355,2025-06-18 02:00,이비인후과,2층 C-2,임승현 전문의
임현연,700806-1863748,2025-06-27 15:40,호흡기내과,4층 B-3,김연린 전문의
박진철,881010-2671243,2025-06-24 00:20,호흡기내과,3층 C-2,신용범 전문의
홍윤영,010224-2804313,2025-06-30 00:40,가정의학과,2층 D-3,임윤수 전문의
정지주,810201-1430244,2025-06-14 14:10,정형외과,3층 D-1,강은한 전문의
안선범,941112-1155510,2025-06-29 21:40,치과,3층 C-4,장다은 전문의
윤다용,740920-2982274,2025-06-23 03:40,정형외과,3층 D-4,장미은 전문의
한현교,780701-1437133,2025-06-11 09:00,감염내과,2층 C-3,최한은 전문의
김승승,950107-1317742,2025-06-30 14:40,비뇨의학과,2층 B-3,이영문 전문의
임민린,840408-2410698,2025-06-13 21:20,정형외과,3층 A-1,한희연 전문의
한서선,841229-2380745,2025-06-26 09:30,신경과,3층 C-4,최찬태 전문의
송상욱,640825-2389409,2025-06-17 07:30,소아과,3층 D-2,박진윤 전문의
류훈문,670403-1751103,2025-06-24 07:40,호흡기내과,3층 C-2,정범민 전문의
권범용,630321-2717930,2025-06-23 08:40,소화기내과,2층 B-3,윤재교 전문의
강미슬,730928-2917652,2025-06-15 16:20,내과,4층 A-2,권철우 전문의
안서린,750403-2849896,2025-06-11 21:30,비뇨의학과,3층 A-1,서교미 전문의
윤지슬,860226-2193791,2025-06-26 07:50,소화기내과,2층 A-4,박경범 전문의
한연우,020124-2827000,2025-06-19 19:30,내과,3층 A-4,류한상 전문의
오다범,721225-2579916,2025-06-14 20:40,호흡기내과,4층 D-3,박주현 전문의
조호하,011002-2771487,2025-06-21 17:50,가정의학과,3층 D-2,오호희 전문의
오진민,760509-2978026,2025-06-25 19:30,감염내과,3층 B-2,홍승서 전문의
정범진,890429-1530296,2025-06-12 08:40,비뇨의학과,3층 D-4,오우은 전문의
조현용,720906-1427996,2025-06-13 21:00,소아과,4층 C-1,강경범 전문의
